action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
1,1,-0.4,action = 1,71,2,0.50624,0.61632,0.65489,0.5122,0.56763,0.499959998399872,0.4862818112987571,0.47540509042289397,0.49984997749324744,0.4954089220028239,3.00603999199936,3.0477290564937856,3.03191545211447,3.011449887466237,3.0446746100141193
4,1,-0.4,action = 4,72,2,0.53092,0.63317,0.66203,0.53651,0.59712,0.49903907662626984,0.4819439801470706,0.47302219821061253,0.4986682263790225,0.49047935736379367,3.026115383131349,3.0428899007353527,3.027140991053063,3.0298511318951125,3.0495167868189683
4,0,0.6,action = 4,73,2,0.54355,0.61054,0.65093,0.52463,0.6099,0.49809637621649083,0.4876269065586927,0.47667599058479965,0.49938962744534454,0.48777043780860685,3.034031881082454,3.0486745327934632,3.034309952923998,3.0215781372267227,3.0487521890430345
1,0,0.6,action = 1,74,2,0.51258,0.62171,0.64956,0.52478,0.56794,0.4998399743918047,0.4849639161834621,0.47710585827466007,0.49938962744534454,0.4953584560699454,3.011779871959024,3.0465295809173103,3.0350892913733003,3.021728137226723,3.044732280349727
1,0,0.6,action = 1,75,2,0.50634,0.61632,0.65625,0.50624,0.54355,0.499959998399872,0.4862818112987571,0.4749631564658463,0.499959998399872,0.49809637621649083,3.00613999199936,3.0477290564937856,3.0310657823292315,3.00603999199936,3.034031881082454
1,0,0.6,action = 1,76,2,0.51873,0.60426,0.65561,0.53059,0.55546,0.4996498774141749,0.48900920236739925,0.47517365246823184,0.49905911473491793,0.4969104547099004,3.0169793870708745,3.0493060118369963,3.0314782623411594,3.0258855736745898,3.040012273549502
1,0,0.6,action = 1,77,2,0.52473,0.58643,0.65607,0.52473,0.5556,0.49938962744534454,0.49247334953274374,0.47501578921126403,0.49938962744534454,0.49690039243293016,3.0216781372267225,3.0487967476637188,3.0311489460563203,3.0216781372267225,3.040101962164651
1,1,-0.4,action = 1,78,2,0.5061,0.58038,0.63384,0.50662,0.55565,0.499959998399872,0.4934977203594764,0.48175720025755714,0.499959998399872,0.4968903299521938,3.00589999199936,3.047868601797382,3.0426260012877853,3.0064199919993597,3.040101649760969
1,1,-0.4,action = 1,79,2,0.51229,0.5801,0.6394,0.50023,0.54936,0.49984997749324744,0.49353824573177707,0.4801770506802673,0.5,0.4975540171679855,3.0115398874662374,3.0477912286588853,3.0402852534013363,3.00023,3.0371300858399275
1,1,-0.4,action = 1,80,2,0.53082,0.60371,0.66117,0.53027,0.56061,0.4990490957811666,0.48912166175707245,0.4733075110327323,0.4990791520390328,0.49631643132179293,3.0260654789058328,3.049318308785362,3.027707555163661,3.0256657601951638,3.0421921566089645
1,1,-0.4,action = 1,81,2,0.51229,0.61022,0.64515,0.52478,0.56156,0.49984997749324744,0.4876986774638619,0.4784662997537026,0.49938962744534454,0.49619552597741146,3.0115398874662374,3.0487133873193097,3.0374814987685133,3.021728137226723,3.0425376298870574
1,0,0.6,action = 1,82,2,0.52492,0.61632,0.65114,0.52492,0.56156,0.49937961512260387,0.4862818112987571,0.476613050597652,0.49937961512260387,0.49619552597741146,3.0218180756130195,3.0477290564937856,3.0342052529882597,3.0218180756130195,3.0425376298870574
1,1,-0.4,action = 1,83,2,0.51868,0.59849,0.6398,0.48766,0.53707,0.4996498774141749,0.49020403915104577,0.48006249593151934,0.49984997749324744,0.49862811793961237,3.016929387070874,3.0495101957552286,3.040112479657597,2.986909887466237,3.030210589698062
1,1,-0.4,action = 1,84,2,0.52435,0.6099,0.6394,0.53102,0.5679,0.49940965148863514,0.48777043780860685,0.4801770506802673,0.49903907662626984,0.49536854966782057,3.0213982574431757,3.0487521890430345,3.0402852534013363,3.0262153831313494,3.0447427483391025
4,1,-0.4,action = 4,85,2,0.53054,0.62788,0.62806,0.51286,0.58024,0.499069133487536,0.4833735615442781,0.4833218389437829,0.4998299710901698,0.49351798346159587,3.02588566743768,3.0447478077213903,3.0446691947189146,3.0120098554508488,3.047829917307979
4,0,0.6,action = 4,86,2,0.54345,0.62196,0.63962,0.53721,0.59863,0.498106414333323,0.4849020519651366,0.480114569660201,0.49861809032565196,0.4901734386928774,3.033982071666615,3.046470259825683,3.040192848301005,3.0303004516282597,3.049497193464387
4,0,0.6,action = 4,87,2,0.53735,0.63402,0.66248,0.50624,0.56804,0.4985980344927164,0.4817053041019997,0.47286361670147553,0.499959998399872,0.49534836226639534,3.030340172463582,3.0425465205099984,3.026798083507378,3.00603999199936,3.0447818113319767
1,0,0.6,action = 1,88,2,0.52473,0.60458,0.62228,0.5001,0.55598,0.49938962744534454,0.488937623833552,0.484819554061096,0.5,0.4968601412872641,3.0216781372267225,3.0492681191677597,3.04637777030548,3.0000999999999998,3.04028070643632
1,0,0.6,action = 1,89,2,0.53721,0.59239,0.6398,0.51244,0.53111,0.49861809032565196,0.49138579548049616,0.48006249593151934,0.49984997749324744,0.49902905727021546,3.0303004516282597,3.0493189774024807,3.040112479657597,3.011689887466237,3.0262552863510774
1,1,-0.4,action = 1,90,2,0.57404,0.58643,0.64536,0.51868,0.53116,0.49448963588734596,0.49247334953274374,0.4784035953042159,0.4996498774141749,0.49902905727021546,3.04648817943673,3.0487967476637188,3.0373779765210798,3.016929387070874,3.0263052863510773
1,1,-0.4,action = 1,91,2,0.53097,0.59267,0.62228,0.49395,0.56827,0.49903907662626984,0.4913349163249036,0.484819554061096,0.499959998399872,0.49531807962157004,3.026165383131349,3.049344581624518,3.04637777030548,2.9937499919993598,3.04486039810785
1,0,0.6,action = 1,92,2,0.54936,0.60458,0.63958,0.48771,0.5435,0.4975540171679855,0.488937623833552,0.4801249837281955,0.49984997749324744,0.498106414333323,3.0371300858399275,3.0492681191677597,3.0402049186409776,2.986959887466237,3.0340320716666147
1,1,-0.4,action = 1,93,2,0.55519,0.58643,0.6165,0.50014,0.53111,0.49694064031833823,0.49247334953274374,0.4862406811446364,0.5,0.49902905727021546,3.039893201591691,3.0487967476637188,3.0477034057231824,3.00014,3.0262552863510774
1,0,0.6,action = 1,94,2,0.55446,0.60458,0.65114,0.52482,0.53731,0.49702112631154827,0.488937623833552,0.476613050597652,0.49937961512260387,0.498608062510024,3.039565631557741,3.0492681191677597,3.0342052529882597,3.0217180756130193,3.0303503125501194
1,0,0.6,action = 1,95,2,0.51244,0.60458,0.64996,0.49395,0.52497,0.49984997749324744,0.488937623833552,0.47698008344164644,0.499959998399872,0.49937961512260387,3.011689887466237,3.0492681191677597,3.0348604172082325,2.9937499919993598,3.0218680756130194
1,1,-0.4,action = 1,96,2,0.4939,0.58024,0.63362,0.49395,0.53735,0.499959998399872,0.49351798346159587,0.481809090823326,0.499959998399872,0.4985980344927164,2.99369999199936,3.047829917307979,3.04266545411663,2.9937499919993598,3.030340172463582
1,1,-0.4,action = 1,97,2,0.51825,0.60444,0.6333,0.50005,0.52497,0.49966989102806664,0.48896830163109756,0.4819024797612064,0.5,0.49937961512260387,3.0165994551403332,3.0492815081554876,3.0428123988060323,3.00005,3.0218680756130194
1,0,0.6,action = 1,98,2,0.53102,0.60458,0.6398,0.51215,0.53111,0.49903907662626984,0.488937623833552,0.48006249593151934,0.49984997749324744,0.49902905727021546,3.0262153831313494,3.0492681191677597,3.040112479657597,3.0113998874662373,3.0262552863510774
1,1,-0.4,action = 1,99,2,0.52478,0.59849,0.63958,0.5183,0.53111,0.49938962744534454,0.49020403915104577,0.4801249837281955,0.49966989102806664,0.49902905727021546,3.021728137226723,3.0495101957552286,3.0402049186409776,3.016649455140333,3.0262552863510774
1,0,0.6,action = 1,100,2,0.52492,0.59253,0.62824,0.53097,0.52487,0.49937961512260387,0.49136544445046193,0.4832701108076104,0.49903907662626984,0.49937961512260387,3.0218180756130195,3.0493572222523095,3.044590554038052,3.026165383131349,3.021768075613019
1,0,0.6,action = 1,101,2,0.51868,0.61022,0.63402,0.49419,0.56194,0.4996498774141749,0.4876986774638619,0.4817053041019997,0.499969999099946,0.4961451400548029,3.016929387070874,3.0487133873193097,3.0425465205099984,2.99403999549973,3.0426657002740143
1,0,0.6,action = 1,102,2,0.53073,0.59849,0.63958,0.53083,0.55551,0.49905911473491793,0.49020403915104577,0.4801249837281955,0.4990490957811666,0.4969104547099004,3.02602557367459,3.0495101957552286,3.0402049186409776,3.026075478905833,3.040062273549502
1,0,0.6,action = 1,103,2,0.50624,0.57437,0.63402,0.50014,0.52497,0.499959998399872,0.49443907612566385,0.4817053041019997,0.5,0.49937961512260387,3.00603999199936,3.0465653806283193,3.0425465205099984,3.00014,3.0218680756130194
1,1,-0.4,action = 1,104,2,0.50624,0.57372,0.63962,0.50624,0.53116,0.499959998399872,0.4945300799749192,0.480114569660201,0.499959998399872,0.49902905727021546,3.00603999199936,3.046370399874596,3.040192848301005,3.00603999199936,3.0263052863510773
1,0,0.6,action = 1,105,2,0.52487,0.56208,0.63962,0.50629,0.53111,0.49937961512260387,0.4961350622562368,0.480114569660201,0.499959998399872,0.49902905727021546,3.021768075613019,3.042755311281184,3.040192848301005,3.00608999199936,3.0262552863510774
1,1,-0.4,action = 1,106,2,0.51868,0.57423,0.65671,0.51853,0.5434,0.4996498774141749,0.4944593006507209,0.4748052232231655,0.49965988432132513,0.49811645224786544,3.016929387070874,3.0465265032536046,3.0307361161158273,3.0168294216066256,3.0339822612393275
1,0,0.6,action = 1,107,2,0.50624,0.58024,0.6449,0.48776,0.53111,0.499959998399872,0.49351798346159587,0.47853944456021597,0.49984997749324744,0.49902905727021546,3.00603999199936,3.047829917307979,3.0375972228010797,2.9870098874662374,3.0262552863510774
2,1,-0.4,action = 2,108,2,0.46903,0.56794,0.6221,0.49404,0.53721,0.49903907662626984,0.4953584560699454,0.48486080476771887,0.499959998399872,0.49861809032565196,2.964225383131349,3.044732280349727,3.0464040238385945,2.99383999199936,3.0303004516282597
1,0,0.6,action = 1,109,2,0.50005,0.56185,0.64558,0.5,0.53721,0.5,0.4961652950378533,0.47834088263496777,0.5,0.49861809032565196,3.00005,3.0426764751892668,3.037284413174839,3.0,3.0303004516282597
1,1,-0.4,action = 1,110,2,0.54345,0.59239,0.67316,0.52431,0.56794,0.498106414333323,0.49138579548049616,0.46906289556945346,0.49940965148863514,0.4953584560699454,3.033982071666615,3.0493189774024807,3.018474477847267,3.0213582574431754,3.044732280349727
1,0,0.6,action = 1,111,2,0.51868,0.59239,0.67337,0.50005,0.54317,0.4996498774141749,0.49138579548049616,0.46897761140591776,0.5,0.49813652747013043,3.016929387070874,3.0493189774024807,3.0182580570295885,3.00005,3.0338526373506522
1,1,-0.4,action = 1,112,2,0.54317,0.59221,0.65646,0.51853,0.57305,0.49813652747013043,0.4914264950122246,0.4748894608222002,0.49965988432132513,0.494631175725914,3.0338526373506522,3.049342475061123,3.030907304111001,3.0168294216066256,3.0462058786295696
1,0,0.6,action = 1,113,2,0.50619,0.57437,0.63402,0.50619,0.54965,0.499959998399872,0.49443907612566385,0.4817053041019997,0.499959998399872,0.49753391844174805,3.00598999199936,3.0465653806283193,3.0425465205099984,3.00598999199936,3.03731959220874
1,0,0.6,action = 1,114,2,0.49352,0.58643,0.6394,0.49404,0.5495,0.499959998399872,0.49247334953274374,0.4801770506802673,0.499959998399872,0.49754396790635497,2.99331999199936,3.0487967476637188,3.0402852534013363,2.99383999199936,3.037219839531775
1,0,0.6,action = 1,115,2,0.49381,0.57428,0.64536,0.50005,0.54965,0.499959998399872,0.4944491884915982,0.4784035953042159,0.5,0.49753391844174805,2.9936099919993597,3.0465259424579907,3.0373779765210798,3.00005,3.03731959220874
1,1,-0.4,action = 1,116,2,0.51244,0.54979,0.64558,0.48785,0.53735,0.49984997749324744,0.49751381890355567,0.47834088263496777,0.49984997749324744,0.4985980344927164,3.011689887466237,3.037359094517778,3.037284413174839,2.987099887466237,3.030340172463582
1,0,0.6,action = 1,117,2,0.51229,0.55589,0.65114,0.50624,0.54955,0.49984997749324744,0.49687020437937307,0.476613050597652,0.499959998399872,0.49753391844174805,3.0115398874662374,3.0402410218968656,3.0342052529882597,3.00603999199936,3.03721959220874
1,1,-0.4,action = 1,118,2,0.48756,0.57423,0.63362,0.48771,0.53735,0.49984997749324744,0.4944593006507209,0.481809090823326,0.49984997749324744,0.4985980344927164,2.9868098874662374,3.0465265032536046,3.04266545411663,2.986959887466237,3.030340172463582
1,1,-0.4,action = 1,119,2,0.43862,0.56827,0.65093,0.44297,0.5436,0.49621567891391744,0.49531807962157004,0.47667599058479965,0.4967393682807917,0.49809637621649083,2.919698394569587,3.04486039810785,3.034309952923998,2.926666841403958,3.034081881082454
1,0,0.6,action = 1,120,2,0.45678,0.58001,0.66759,0.47856,0.53726,0.4981264899601305,0.4935585071701227,0.47107324271285034,0.49953978820510386,0.498608062510024,2.9474124498006526,3.0478025358506136,3.022956213564252,2.9762589410255194,3.0303003125501196
2,1,-0.4,action = 2,121,2,0.48756,0.56208,0.62753,0.47133,0.53102,0.49984997749324744,0.4961350622562368,0.48346664828093366,0.4991793264949982,0.49903907662626984,2.9868098874662374,3.042755311281184,3.0448632414046686,2.9672266324749907,3.0262153831313494
2,0,0.6,action = 2,122,2,0.50014,0.5436,0.64497,0.46421,0.51244,0.5,0.49809637621649083,0.47851854718495496,0.4987183573922259,0.49984997749324744,3.00014,3.034081881082454,3.0375627359247748,2.9578017869611295,3.011689887466237
1,1,-0.4,action = 1,123,2,0.51868,0.57414,0.62681,0.50624,0.5436,0.4996498774141749,0.4944694126030446,0.4836527680061389,0.499959998399872,0.49809637621649083,3.016929387070874,3.0464870630152228,3.0450738400306943,3.00603999199936,3.034081881082454
2,0,0.6,action = 2,124,2,0.50005,0.55565,0.61593,0.47597,0.5374,0.5,0.4968903299521938,0.48637434142849273,0.4994196632092093,0.4985980344927164,3.00005,3.040101649760969,3.047801707142464,2.9730683160460467,3.0303901724635818
2,0,0.6,action = 2,125,2,0.5495,0.56794,0.62157,0.48794,0.55589,0.49754396790635497,0.4953584560699454,0.4849948453334324,0.49984997749324744,0.49687020437937307,3.037219839531775,3.044732280349727,3.0465442266671623,2.9871898874662373,3.0402410218968656
1,0,0.6,action = 1,126,2,0.51848,0.58033,0.63402,0.48809,0.53721,0.49965988432132513,0.4935078520145348,0.4817053041019997,0.4998599803945101,0.49861809032565196,3.0167794216066257,3.047869260072674,3.0425465205099984,2.9873899019725507,3.0303004516282597
2,1,-0.4,action = 2,127,2,0.48118,0.57414,0.61632,0.50005,0.51853,0.4996498774141749,0.4944694126030446,0.4862818112987571,0.5,0.49965988432132513,2.9794293870708746,3.0464870630152228,3.0477290564937856,3.00005,3.0168294216066256
2,1,-0.4,action = 2,128,2,0.48761,0.56804,0.59835,0.5,0.54965,0.49984997749324744,0.49534836226639534,0.4902346376991328,0.5,0.49753391844174805,2.9868598874662373,3.0447818113319767,3.0495231884956637,3.0,3.03731959220874
2,1,-0.4,action = 2,129,2,0.49381,0.55565,0.62735,0.53069,0.55551,0.499959998399872,0.4968903299521938,0.48350801441134356,0.49905911473491793,0.4969104547099004,2.9936099919993597,3.040101649760969,3.0448900720567176,3.0259855736745895,3.040062273549502
2,1,-0.4,action = 2,130,2,0.46265,0.54969,0.62133,0.46349,0.50624,0.4985980344927164,0.4975238687741524,0.48505669771687515,0.4986682263790225,0.499959998399872,2.955640172463582,3.037309343870762,3.046613488584376,2.9568311318951124,3.00603999199936
1,1,-0.4,action = 1,131,2,0.45669,0.56208,0.63384,0.49419,0.53731,0.49811645224786544,0.4961350622562368,0.48175720025755714,0.499969999099946,0.498608062510024,2.9472722612393274,3.042755311281184,3.0426260012877853,2.99403999549973,3.0303503125501194
1,0,0.6,action = 1,132,2,0.50629,0.57938,0.64419,0.48771,0.52487,0.499959998399872,0.4936598018878993,0.47875881192934716,0.49984997749324744,0.49937961512260387,3.00608999199936,3.0476790094394968,3.037984059646736,2.986959887466237,3.021768075613019
1,1,-0.4,action = 1,133,2,0.48756,0.58558,0.66783,0.50014,0.5436,0.49984997749324744,0.49262561849745495,0.47098832257286377,0.5,0.49809637621649083,2.9868098874662374,3.048708092487275,3.022771612864319,3.00014,3.034081881082454
1,0,0.6,action = 1,134,2,0.4383,0.56071,0.65962,0.4512,0.50667,0.4961753722223625,0.49629628247650615,0.4738354144637144,0.4976143084759521,0.499959998399872,2.9191768611118123,3.0421914123825307,3.028797072318572,2.9392715423797604,3.00646999199936
1,1,-0.4,action = 1,135,2,0.49376,0.58024,0.65607,0.47527,0.53111,0.499959998399872,0.49351798346159587,0.47501578921126403,0.49938962744534454,0.49902905727021546,2.99355999199936,3.047829917307979,3.0311489460563203,2.9722181372267227,3.0262552863510774
1,1,-0.4,action = 1,136,2,0.48147,0.56165,0.63846,0.46284,0.49381,0.49965988432132513,0.4961854492022111,0.4804477078725634,0.49861809032565196,0.499959998399872,2.9797694216066253,3.0425772460110556,3.0406985393628174,2.9559304516282596,2.9936099919993597
1,1,-0.4,action = 1,137,2,0.45674,0.57414,0.63958,0.44524,0.47551,0.4981264899601305,0.4944694126030446,0.4801249837281955,0.4969909455915671,0.4993996395673509,2.9473724498006524,3.0464870630152228,3.0402049186409776,2.9301947279578355,2.9725081978367545
1,0,0.6,action = 1,138,2,0.44477,0.59165,0.63821,0.45187,0.51868,0.49694064031833823,0.4915282290977803,0.48052055106935854,0.4976745924798653,0.4996498774141749,2.929473201591691,3.0492911454889016,3.0408127553467925,2.9402429623993265,3.016929387070874
1,0,0.6,action = 1,139,2,0.45726,0.58001,0.64956,0.48246,0.53111,0.49816663878666145,0.4935585071701227,0.47710585827466007,0.49968990384037176,0.49902905727021546,2.948093193933307,3.0478025358506136,3.0350892913733003,2.980909519201859,3.0262552863510774
1,0,0.6,action = 1,140,2,0.49376,0.58558,0.6449,0.49372,0.53721,0.499959998399872,0.49262561849745495,0.47853944456021597,0.499959998399872,0.49861809032565196,2.99355999199936,3.048708092487275,3.0375972228010797,2.99351999199936,3.0303004516282597
2,0,0.6,action = 2,141,2,0.48142,0.54969,0.6333,0.44755,0.50084,0.4996498774141749,0.4975238687741524,0.4819024797612064,0.49724239561807276,0.5,2.9796693870708744,3.037309343870762,3.0428123988060323,2.933761978090364,3.00084
2,0,0.6,action = 2,142,2,0.52458,0.54955,0.62806,0.47551,0.50619,0.4993996395673509,0.49753391844174805,0.4833218389437829,0.4993996395673509,0.499959998399872,3.021578197836755,3.03721959220874,3.0446691947189146,2.9725081978367545,3.00598999199936
1,0,0.6,action = 1,143,2,0.54303,0.57428,0.62196,0.48137,0.53721,0.4981465647778774,0.4944491884915982,0.4849020519651366,0.4996498774141749,0.49861809032565196,3.033762823889387,3.0465259424579907,3.046470259825683,2.9796193870708745,3.0303004516282597
2,0,0.6,action = 2,144,2,0.46279,0.55589,0.60426,0.45669,0.51853,0.49861809032565196,0.49687020437937307,0.48900920236739925,0.49811645224786544,0.49965988432132513,2.9558804516282597,3.0402410218968656,3.0493060118369963,2.9472722612393274,3.0168294216066256
2,1,-0.4,action = 2,145,2,0.45026,0.56199,0.61515,0.46903,0.52492,0.4975238687741524,0.4961451400548029,0.48655934889795305,0.49903907662626984,0.49937961512260387,2.937879343870762,3.042715700274014,3.047946744489765,2.964225383131349,3.0218180756130195
1,1,-0.4,action = 1,146,2,0.51229,0.57437,0.63362,0.48137,0.51873,0.49984997749324744,0.49443907612566385,0.481809090823326,0.4996498774141749,0.4996498774141749,3.0115398874662374,3.0465653806283193,3.04266545411663,2.9796193870708745,3.0169793870708745
1,0,0.6,action = 1,147,2,0.54922,0.57423,0.62806,0.51863,0.53721,0.4975741150823664,0.4944593006507209,0.4833218389437829,0.4996498774141749,0.49861809032565196,3.037090575411832,3.0465265032536046,3.0446691947189146,3.0168793870708743,3.0303004516282597
