action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
2,0,0.6,action = 2,57,0.48752,0.47508,0.47508,0.45645,0.47508,0.01816590212458495,0.026457513110645904,0.03162277660168379,0.0,0.023874672772626643,0.850838042491699,1.004230262212918,1.1075355320336757,0.45645,0.9525734554525329
2,0,0.6,action = 2,58,0.47503,0.4564,0.46265,0.4564,0.4626,0.0,0.0,0.015491933384829668,0.0,0.0,0.47503,0.4564,0.7724886676965934,0.4564,0.4626
4,1,-0.4,action = 4,59,0.48127,0.4626,0.45021,0.4564,0.47508,0.0,0.014491376746189439,0.0,0.0,0.02345207879911715,0.48127,0.7524275349237888,0.45021,0.4564,0.9441215759823429
2,0,0.6,action = 2,60,0.48127,0.47503,0.4626,0.4564,0.48127,0.02,0.007745966692414834,0.03286335345030997,0.015165750888103102,0.021213203435596427,0.88127,0.6299493338482967,1.1198670690061994,0.759715017762062,0.9055340687119285
0,0,0.6,action = 0,61,0.48127,0.4564,0.45021,0.4626,0.46879,0.0,0.0,0.0,0.0,0.0,0.48127,0.4564,0.45021,0.4626,0.46879
1,0,0.6,action = 1,62,0.48127,0.46879,0.44411,0.44402,0.48127,0.0,0.01870828693386971,0.0,0.0,0.01341640786499874,0.48127,0.8429557386773942,0.44411,0.44402,0.7495981572999748
3,0,0.6,action = 3,63,0.47503,0.4564,0.45031,0.45021,0.46884,0.0,0.009486832980505138,0.01,0.0322490309931942,0.0,0.47503,0.6461366596101027,0.6503099999999999,1.0951906198638839,0.46884
1,1,-0.4,action = 1,64,0.48127,0.4564,0.43801,0.43792,0.47508,0.028106938645110394,0.03872983346207417,0.03391164991562634,0.0,0.02,1.043408772902208,1.2309966692414833,1.1162429983125268,0.43792,0.8750800000000001
3,0,0.6,action = 3,65,0.46879,0.44411,0.43182,0.43792,0.47503,0.025099800796022267,0.0232379000772445,0.0354964786985977,0.037682887362833546,0.027928480087537882,0.9707860159204453,0.90886800154489,1.1417495739719539,1.1915777472566709,1.0335996017507576
0,1,-0.4,action = 0,66,0.47522,0.43792,0.41343,0.4199,0.4564,0.022360679774997897,0.0,0.0,0.0,0.0,0.9224335954999578,0.43792,0.41343,0.4199,0.4564
2,0,0.6,action = 2,67,0.48752,0.43173,0.43792,0.42563,0.48127,0.01,0.0,0.030331501776206204,0.0,0.013038404810405298,0.68752,0.43173,1.0445500355241242,0.42563,0.7420380962081059
1,0,0.6,action = 1,68,0.48127,0.46889,0.41976,0.43182,0.47508,0.021213203435596427,0.03521363372331802,0.0,0.0,0.028982753492378877,0.9055340687119285,1.1731626744663604,0.41976,0.43182,1.0547350698475775
1,1,-0.4,action = 1,69,0.47503,0.45021,0.42586,0.43792,0.4626,0.0,0.0322490309931942,0.007745966692414834,0.0,0.0,0.47503,1.0951906198638839,0.5807793338482967,0.43792,0.4626
3,1,-0.4,action = 3,70,0.48756,0.46269,0.43206,0.45031,0.46884,0.02569046515733026,0.034496376621320685,0.0403732584763727,0.043703546766824315,0.0,1.001369303146605,1.1526175324264136,1.2395251695274538,1.3243809353364862,0.46884
2,0,0.6,action = 2,71,0.48127,0.4565,0.43801,0.44426,0.48127,0.007071067811865475,0.02588435821108957,0.060332412515993424,0.03646916505762094,0.0,0.6226913562373095,0.9741871642217914,1.6446582503198686,1.1736433011524188,0.48127
0,1,-0.4,action = 0,72,0.48127,0.43815,0.41343,0.42586,0.48127,0.0,0.0,0.0,0.0,0.0,0.48127,0.43815,0.41343,0.42586,0.48127
2,0,0.6,action = 2,73,0.50005,0.4626,0.45021,0.44402,0.48756,0.01,0.0,0.057965506984757754,0.0,0.0,0.7000500000000001,0.4626,1.609520139695155,0.44402,0.48756
1,0,0.6,action = 1,74,0.48752,0.47508,0.41357,0.43173,0.48756,0.0,0.024083189157584593,0.0,0.0,0.0,0.48752,0.9567437831516918,0.41357,0.43173,0.48756
2,1,-0.4,action = 2,75,0.5,0.46265,0.43196,0.43792,0.49381,0.01788854381999832,0.04427188724235731,0.06316644678941502,0.033316662497915366,0.007745966692414834,0.8577708763999664,1.3480877448471462,1.6952889357883003,1.1042532499583073,0.6487293338482967
3,1,-0.4,action = 3,76,0.5,0.43182,0.42563,0.43792,0.48127,0.006324555320336759,0.0,0.041109609582188934,0.05813776741499453,0.01788854381999832,0.6264911064067351,0.43182,1.2478221916437786,1.6006753482998906,0.8390408763999664
0,1,-0.4,action = 0,77,0.50624,0.45031,0.40747,0.42586,0.47503,0.006324555320336759,0.0,0.0,0.0,0.0,0.6327311064067351,0.45031,0.40747,0.42586,0.47503
3,0,0.6,action = 3,78,0.5,0.4564,0.43182,0.46269,0.5,0.006324555320336759,0.0,0.02588435821108957,0.030331501776206204,0.015811388300841896,0.6264911064067351,0.4564,0.9495071642217914,1.0693200355241241,0.8162277660168379
2,1,-0.4,action = 2,79,0.51239,0.46279,0.4321,0.44421,0.49376,0.018439088914585774,0.0,0.026267851073127395,0.0,0.0170293863659264,0.8811717782917154,0.46279,0.957457021462548,0.44421,0.834347727318528
3,0,0.6,action = 3,80,0.50619,0.47508,0.43792,0.46279,0.50624,0.023021728866442676,0.01341640786499874,0.0,0.02846049894151541,0.01673320053068151,0.9666245773288535,0.7434081572999748,0.43792,1.0319999788303083,0.8409040106136302
3,0,0.6,action = 3,81,0.51868,0.46889,0.43816,0.45035,0.48756,0.0,0.0,0.0,0.034641016151377546,0.013038404810405298,0.51868,0.46889,0.43816,1.143170323027551,0.748328096208106
2,1,-0.4,action = 2,82,0.50619,0.46265,0.45021,0.43196,0.47503,0.012649110640673518,0.0340587727318528,0.06041522986797286,0.03178049716414141,0.019748417658131498,0.7591722128134704,1.143825454637056,1.6585145973594573,1.067569943282828,0.86999835316263
3,0,0.6,action = 3,83,0.50624,0.4564,0.43206,0.4261,0.48132,0.007745966692414834,0.009486832980505138,0.0,0.012649110640673518,0.0,0.6611593338482967,0.6461366596101027,0.43206,0.6790822128134704,0.48132
2,1,-0.4,action = 2,84,0.50624,0.44402,0.44402,0.41953,0.49376,0.010488088481701515,0.01673320053068151,0.03577708763999664,0.0,0.027202941017470887,0.7160017696340304,0.7786840106136301,1.159561752799933,0.41953,1.0378188203494179
