note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 1,1,0,0.7999999999999999,17,3,0.61036,0.62157,0.64259,0.60426,0.58643,0.0,0.10329569206893384,0.08485281374238571,0.10535653752852739,0.0,0.61036,1.138048460344669,1.0668540687119286,1.131042687642637,0.58643
action = 0,0,1,-0.20000000000000007,18,3,0.60395,0.5969,0.65552,0.62945,0.56775,0.08414273587185052,0.0,0.0,0.0,0.035637059362410926,1.0246636793592525,0.5969,0.65552,0.62945,0.7459352968120546
action = 1,1,1,-0.20000000000000007,19,3,0.63958,0.53721,0.62689,0.59817,0.57977,0.023874672772626643,0.05128352561983234,0.0,0.0,0.0,0.7589533638631333,0.7936276280991617,0.62689,0.59817,0.57977
action = 4,4,1,-0.20000000000000007,20,3,0.64433,0.58619,0.6221,0.60403,0.59197,0.03885871845545089,0.007745966692414834,0.0,0.04483302354291979,0.0658027355054484,0.8386235922772545,0.6249198334620741,0.6221,0.828195117714599,0.920983677527242
action = 2,2,0,0.7999999999999999,21,3,0.63919,0.59831,0.62189,0.61022,0.61614,0.02345207879911715,0.045276925690687087,0.09959919678390985,0.0,0.0,0.7564503939955858,0.8246946284534354,1.1198859839195494,0.61022,0.61614
action = 0,0,1,-0.20000000000000007,22,3,0.59835,0.57428,0.61593,0.5618,0.59158,0.11171392035015153,0.11013627921806693,0.08031189202104505,0.09284395510748128,0.10788883167408941,1.1569196017507577,1.1249613960903346,1.0174894601052253,1.0260197755374063,1.131024158370447
action = 0,0,0,0.7999999999999999,23,3,0.67633,0.62767,0.63895,0.62824,0.63919,0.0340587727318528,0.0,0.0,0.0,0.0,0.846623863659264,0.62767,0.63895,0.62824,0.63919
action = 2,2,0,0.7999999999999999,24,3,0.61004,0.57399,0.58619,0.54955,0.59807,0.05639148871948674,0.0291547594742265,0.07224956747275377,0.06826419266350404,0.05949789912257407,0.8919974435974337,0.7197637973711325,0.9474378373637689,0.8908709633175202,0.8955594956128703
action = 0,0,1,-0.20000000000000007,25,3,0.57929,0.55505,0.58357,0.5434,0.60278,0.05282045058497703,0.021213203435596427,0.0,0.0498998997994986,0.0,0.8433922529248852,0.6611160171779822,0.58357,0.792899498997493,0.60278
action = 0,0,0,0.7999999999999999,26,3,0.61579,0.56794,0.59239,0.5618,0.57437,0.0,0.0,0.0,0.0,0.0,0.61579,0.56794,0.59239,0.5618,0.57437
action = 0,0,0,0.7999999999999999,27,3,0.55565,0.5436,0.56827,0.54969,0.57385,0.059833101206606364,0.0,0.0,0.04743416490252569,0.048166378315169185,0.8548155060330318,0.5436,0.56827,0.7868608245126285,0.8146818915758459
action = 4,4,1,-0.20000000000000007,28,3,0.56199,0.50629,0.56208,0.56194,0.56804,0.034351128074635334,0.03924283374069717,0.024899799195977464,0.0,0.054037024344425186,0.7337456403731767,0.7025041687034859,0.6865789959798874,0.56194,0.8382251217221259
action = 0,0,0,0.7999999999999999,29,3,0.55579,0.54979,0.58643,0.56208,0.60444,0.035355339059327376,0.0,0.0,0.033316662497915366,0.0,0.7325666952966369,0.54979,0.58643,0.7286633124895768,0.60444
action = 4,4,1,-0.20000000000000007,30,3,0.51858,0.50038,0.54979,0.53111,0.55574,0.033166247903554,0.03974921382870358,0.057183913821983186,0.06220932405998316,0.0656505902486794,0.68441123951777,0.6991260691435179,0.8357095691099159,0.8421566202999158,0.883992951243397
action = 0,0,1,-0.20000000000000007,31,3,0.53735,0.53102,0.59158,0.5739,0.60426,0.06655824516917494,0.0396232255123179,0.0,0.0,0.011832159566199232,0.8701412258458747,0.7291361275615895,0.59158,0.5739,0.6634207978309962
action = 1,1,1,-0.20000000000000007,32,3,0.59817,0.5374,0.57423,0.57367,0.61092,0.0,0.053758720222862454,0.0,0.0,0.0,0.59817,0.8061936011143123,0.57423,0.57367,0.61092
action = 4,4,1,-0.20000000000000007,33,3,0.59239,0.58633,0.58539,0.54941,0.57992,0.0,0.06833739825307955,0.07280109889280519,0.06715653356152326,0.092951600308978,0.59239,0.9280169912653977,0.9493954944640259,0.8851926678076163,1.04467800154489
action = 4,4,1,-0.20000000000000007,34,3,0.58047,0.58629,0.60373,0.59676,0.63299,0.0,0.0,0.0,0.0,0.0,0.58047,0.58629,0.60373,0.59676,0.63299
action = 3,3,0,0.7999999999999999,35,3,0.55589,0.55589,0.58601,0.54355,0.6099,0.017320508075688773,0.019493588689617928,0.0,0.03781534080237808,0.0,0.6424925403784438,0.6533579434480896,0.58601,0.7326267040118903,0.6099
action = 4,4,1,-0.20000000000000007,36,3,0.54965,0.54345,0.5495,0.5434,0.616,0.06899275324264137,0.03834057902536163,0.02683281572999748,0.03860051813123756,0.0651920240520265,0.8946137662132068,0.7351528951268081,0.6836640786499874,0.7364025906561877,0.9419601202601324
action = 2,2,1,-0.20000000000000007,37,3,0.58535,0.5495,0.54936,0.55584,0.6394,0.0,0.0,0.03492849839314596,0.0,0.0,0.58535,0.5495,0.7240024919657297,0.55584,0.6394
action = 1,1,0,0.7999999999999999,38,3,0.59197,0.56185,0.56818,0.55546,0.63402,0.0,0.06848357467305573,0.04381780460041329,0.030166206257996712,0.0,0.59197,0.9042678733652786,0.7872690230020665,0.7062910312899835,0.63402
action = 4,4,1,-0.20000000000000007,39,3,0.58024,0.56208,0.57414,0.55574,0.6398,0.0,0.0,0.05079370039680117,0.0,0.06066300355241241,0.58024,0.56208,0.8281085019840059,0.55574,0.9431150177620621
action = 0,0,0,0.7999999999999999,40,3,0.56194,0.53693,0.5908,0.54312,0.66013,0.06715653356152326,0.055946402922797456,0.040987803063838396,0.06913754406977442,0.0,0.8977226678076163,0.8166620146139874,0.795739015319192,0.8888077203488721,0.66013
action = 4,4,1,-0.20000000000000007,41,3,0.55574,0.51248,0.56808,0.51873,0.59137,0.0282842712474619,0.024083189157584593,0.01870828693386971,0.06041522986797286,0.09186947262284681,0.6971613562373096,0.632895945787923,0.6616214346693485,0.8208061493398644,1.050717363114234
action = 4,4,1,-0.20000000000000007,42,3,0.58587,0.52492,0.56818,0.56138,0.64472,0.0,0.019493588689617928,0.029664793948382652,0.034785054261852175,0.04626013402488151,0.58587,0.6223879434480897,0.7165039697419133,0.7353052713092609,0.8760206701244075
action = 4,4,0,0.7999999999999999,43,3,0.5495,0.53726,0.58587,0.57382,0.65552,0.04049691346263317,0.0,0.0,0.0,0.054497706373754846,0.7519845673131659,0.53726,0.58587,0.57382,0.9280085318687743
action = 4,4,1,-0.20000000000000007,44,3,0.57437,0.55574,0.56804,0.55584,0.63384,0.0,0.0,0.05665686189686118,0.0,0.1141052146047673,0.57437,0.55574,0.8513243094843059,0.55584,1.2043660730238366
action = 4,4,1,-0.20000000000000007,45,3,0.55598,0.5496,0.58033,0.54965,0.68931,0.0,0.0,0.0,0.0,0.0,0.55598,0.5496,0.58033,0.54965,0.68931
action = 4,4,1,-0.20000000000000007,46,3,0.54965,0.51863,0.58633,0.53726,0.61463,0.07700649323271383,0.055856960175075764,0.0,0.04312771730569565,0.10922453936730518,0.9346824661635691,0.7979148008753789,0.58633,0.7528985865284782,1.1607526968365258
action = 3,3,1,-0.20000000000000007,47,3,0.58633,0.54345,0.58657,0.54965,0.67291,0.0,0.015491933384829668,0.0,0.03162277660168379,0.0,0.58633,0.6209096669241483,0.58657,0.707763883008419,0.67291
action = 4,4,0,0.7999999999999999,48,3,0.54974,0.54979,0.57414,0.57423,0.64536,0.030166206257996712,0.008366600265340755,0.032557641192199414,0.01341640786499874,0.08282511696339462,0.7005710312899835,0.5916230013267038,0.7369282059609971,0.6413120393249937,1.059485584816973
action = 0,0,1,-0.20000000000000007,49,3,0.55574,0.53111,0.58024,0.56748,0.65093,0.054221766846903836,0.007745966692414834,0.0,0.0,0.0,0.8268488342345193,0.5698398334620741,0.58024,0.56748,0.65093
