action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
2,0,0.6,action = 2,46,4,0.46884,0.44411,0.47508,0.45035,0.48127,0.13044602361722604,0.17501162793875424,0.14791186423985642,0.1383588922095962,0.09491344842847363,0.4949292047234452,0.47911232558775085,0.5046623728479713,0.47802177844191923,0.5002526896856947
0,0,0.6,action = 0,47,4,0.48127,0.4564,0.45645,0.45035,0.48127,0.13081188059827717,0.17550247636840355,0.13874694211101687,0.13874694211101687,0.09517964855278778,0.5074323761196554,0.49150049527368067,0.4841993884222034,0.47809938842220334,0.5003059297105575
3,0,0.6,action = 3,48,4,0.44402,0.43792,0.43782,0.45645,0.4626,0.12443789036641134,0.1759816642385531,0.13912577352727779,0.13912577352727779,0.09543952484636128,0.4689075780732823,0.4731163328477106,0.46564515470545553,0.48427515470545557,0.4816879049692723
0,1,-0.4,action = 0,49,4,0.47508,0.43792,0.45021,0.43792,0.47503,0.12476884877715624,0.17644970987758746,0.13949579623310043,0.13151790708443312,0.095693358412427,0.5000337697554312,0.47320994197551747,0.47810915924662006,0.4642235814168866,0.4941686716824854
4,1,-0.4,action = 4,50,4,0.48127,0.45645,0.47508,0.47508,0.5,0.11927080644173241,0.17690709836290422,0.1398573937159831,0.131858824484383,0.09594141232132547,0.5051241612883465,0.49183141967258087,0.5030514787431967,0.5014517648968766,0.5191882824642651
4,0,0.6,action = 4,51,4,0.5,0.48127,0.48756,0.46884,0.51868,0.11957229929043899,0.1773542842806745,0.14021092535798393,0.13219213733609345,0.09347398269486501,0.5239144598580878,0.5167408568561349,0.5156021850715968,0.4952784274672187,0.537374796538973
4,0,0.6,action = 4,52,4,0.47508,0.44402,0.45645,0.43815,0.49376,0.11986720116324108,0.17779169420667087,0.1405567283969884,0.1325181635905141,0.0912052819220762,0.4990534402326482,0.4795783388413342,0.4845613456793977,0.4646536327181028,0.5120010563844152
0,0,0.6,action = 0,53,4,0.48132,0.44402,0.45645,0.43792,0.48752,0.12015578227979512,0.17821972894119611,0.14089511969357624,0.1328372019866852,0.08910993130293793,0.5053511564559591,0.47966394578823923,0.48462902393871526,0.464487440397337,0.5053419862605876
4,0,0.6,action = 4,54,4,0.4626,0.43182,0.45031,0.43173,0.46889,0.11531089457655584,0.17863876552668267,0.14122639732607445,0.13314953355556808,0.08931944975281979,0.48566217891531116,0.4675477531053365,0.47855527946521487,0.4583599067111136,0.48675388995056396
2,0,0.6,action = 2,55,4,0.46884,0.45021,0.46884,0.45021,0.46889,0.11557580262596684,0.17904915907274474,0.14155084203338833,0.13345542298035937,0.08736711026554211,0.49195516052519334,0.48601983181454894,0.49715016840667764,0.4769010845960719,0.4863634220531084
4,0,0.6,action = 4,56,4,0.45655,0.42563,0.43801,0.43182,0.4626,0.11583534774667884,0.17945124441023796,0.13375511982935465,0.13375511982935465,0.08756330797012143,0.4797170695493358,0.4615202488820476,0.46476102396587093,0.4585710239658709,0.4801126615940243
2,0,0.6,action = 2,57,4,0.4626,0.43792,0.46269,0.4566,0.46269,0.11608973395076715,0.17984533759312613,0.1340488596753745,0.1340488596753745,0.08573796687460325,0.48581794679015344,0.4738890675186252,0.4894997719350749,0.4834097719350749,0.47983759337492066
4,1,-0.4,action = 4,58,4,0.45031,0.43806,0.4505,0.44426,0.46889,0.1163391540116902,0.18023173726459257,0.12744314732628773,0.13433686511400422,0.08592217583256632,0.473577830802338,0.4741063474529185,0.47598862946525755,0.47112737302280083,0.4860744351665132
