note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 0,0,1,-0.20000000000000007,19,4,0.51159,0.54322,0.54895,0.597,0.64497,0.08312640976248162,0.030166206257996712,0.034641016151377546,0.0,0.0,0.6778428195249633,0.6035524125159935,0.6182320323027551,0.597,0.64497
action = 4,4,1,-0.20000000000000007,20,4,0.52478,0.5434,0.5495,0.58611,0.62189,0.057706152185014035,0.0396232255123179,0.05118593556827891,0.03591656999213594,0.10207840124139876,0.640192304370028,0.6226464510246358,0.6518718711365579,0.6579431399842719,0.8260468024827976
action = 4,4,1,-0.20000000000000007,21,4,0.57372,0.57924,0.59158,0.60426,0.67633,0.0,0.0,0.0,0.0,0.0,0.57372,0.57924,0.59158,0.60426,0.67633
action = 4,4,1,-0.20000000000000007,22,4,0.55565,0.54946,0.54322,0.58001,0.64355,0.054405882034941774,0.05338539126015656,0.04764451699828638,0.06107372593840988,0.073348483283569,0.6644617640698836,0.6562307825203131,0.6385090339965728,0.7021574518768198,0.7902469665671379
action = 4,4,1,-0.20000000000000007,23,4,0.56748,0.57309,0.56143,0.60373,0.68302,0.030495901363953814,0.014832396974191326,0.05,0.015165750888103102,0.0,0.6284718027279076,0.6027547939483826,0.66143,0.6340615017762062,0.68302
action = 4,4,1,-0.20000000000000007,24,4,0.56208,0.56827,0.58001,0.61036,0.69437,0.03974921382870358,0.030983866769659335,0.02932575659723036,0.05329165037789691,0.07224956747275377,0.6415784276574072,0.6302377335393188,0.6386615131944607,0.7169433007557938,0.8388691349455075
action = 4,4,1,-0.20000000000000007,25,4,0.57437,0.58643,0.58611,0.61632,0.71982,0.04679743582719036,0.03605551275463989,0.03619392214170771,0.04979959839195493,0.10188228501560023,0.6679648716543808,0.6585410255092798,0.6584978442834154,0.7159191967839098,0.9235845700312004
action = 4,4,0,0.7999999999999999,26,4,0.58033,0.58047,0.59807,0.62157,0.76607,0.0,0.0408656334834051,0.04207136793592526,0.045276925690687087,0.0,0.58033,0.6622012669668103,0.6822127358718505,0.7121238513813741,0.76607
action = 3,3,0,0.7999999999999999,27,4,0.57414,0.58024,0.58588,0.61498,0.7127,0.03924283374069717,0.055856960175075764,0.07937253933193772,0.08093207028119323,0.0,0.6526256674813943,0.6919539203501515,0.7446250786638754,0.7768441405623865,0.7127
action = 4,4,1,-0.20000000000000007,28,4,0.55584,0.56185,0.58629,0.59158,0.70525,0.053851648071345036,0.0403732584763727,0.0,0.0,0.0,0.66354329614269,0.6425965169527453,0.58629,0.59158,0.70525
