action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,48,4,0.46279,0.37772,0.39223,0.41558,0.54955,0.49861809032565196,0.484819554061096,0.4882519841229526,0.4928184249802355,0.49753391844174805,0.712099045162826,0.6201297770305481,0.6363559920614763,0.6619892124901178,0.798316959220874
4,1,-0.4,action = 4,49,4,0.43182,0.3858,0.38582,0.42086,0.52487,0.49532817404222024,0.48678537365044156,0.48678537365044156,0.4937003139557438,0.49937961512260387,0.6794840870211101,0.6291926868252208,0.6292126868252208,0.667710156977872,0.7745598075613018
4,1,-0.4,action = 4,50,4,0.46279,0.36196,0.40365,0.445,0.58578,0.49861809032565196,0.4805621707958295,0.4906322451694344,0.49697082409332644,0.492585018042571,0.712099045162826,0.6022410853979148,0.6489661225847172,0.6934854120466633,0.8320725090212855
4,0,0.6,action = 4,51,4,0.46884,0.42596,0.40771,0.44421,0.56766,0.49902905727021546,0.49448963588734596,0.49140614566771545,0.49688026726767887,0.4953988292275225,0.7183545286351077,0.6732048179436729,0.6534130728338577,0.6926501336338394,0.8153594146137613
4,1,-0.4,action = 4,52,4,0.44495,0.40844,0.40803,0.43234,0.55505,0.496960763038693,0.4915485733882258,0.49146719117353094,0.4953988292275225,0.496960763038693,0.6934303815193466,0.654214286694113,0.6537635955867654,0.6800394146137613,0.8035303815193465
4,0,0.6,action = 4,53,4,0.4626,0.41399,0.4092,0.43237,0.54293,0.4985980344927164,0.49254441424099005,0.49168079075758087,0.4954089220028239,0.4981566018833836,0.7118990172463582,0.6602622071204951,0.6550403953787904,0.6800744610014119,0.7920083009416918
4,1,-0.4,action = 4,54,4,0.47503,0.41343,0.41357,0.43815,0.57372,0.49937961512260387,0.49245304344678387,0.49247334953274374,0.4961652950378533,0.4945300799749192,0.7247198075613019,0.659656521723392,0.6598066747663719,0.6862326475189267,0.8209850399874596
4,1,-0.4,action = 4,55,4,0.48132,0.4145,0.41062,0.44563,0.5909,0.4996498774141749,0.49263576808835147,0.49194511889030873,0.49703118614429015,0.49167062145302115,0.7311449387070874,0.6608178840441757,0.6565925594451544,0.6941455930721451,0.8367353107265105
4,1,-0.4,action = 4,56,4,0.46889,0.39615,0.40333,0.42018,0.60373,0.49902905727021546,0.48910121651862615,0.4905710957649258,0.49358889776817305,0.48912166175707245,0.7184045286351077,0.6407006082593131,0.6486155478824629,0.6669744488840865,0.8482908308785362
4,0,0.6,action = 4,57,4,0.45035,0.38382,0.37889,0.40817,0.57213,0.49753391844174805,0.48631265663151313,0.4851082353454742,0.49149771108317486,0.49477267507411926,0.699116959220874,0.6269763283157566,0.6214441176727371,0.6539188555415874,0.8195163375370597
4,1,-0.4,action = 4,58,4,0.48132,0.42005,0.41553,0.44554,0.55514,0.4996498774141749,0.493568637577389,0.4928184249802355,0.49702112631154827,0.49695070178036777,0.7311449387070874,0.6668343187886945,0.6619392124901178,0.6940505631557741,0.8036153508901839
4,1,-0.4,action = 4,59,4,0.45045,0.40183,0.40856,0.43825,0.55519,0.49753391844174805,0.49026523433749614,0.4915689168366934,0.4961753722223625,0.49694064031833823,0.699216959220874,0.6469626171687481,0.6543444584183467,0.6863376861111812,0.8036603201591691
4,0,0.6,action = 4,60,4,0.4322,0.37279,0.36806,0.39659,0.5855,0.49537864306003343,0.4835493770030109,0.48227585467240636,0.48919321336257315,0.49263576808835147,0.6798893215300167,0.6145646885015055,0.6091979273362031,0.6411866066812866,0.8318178840441758
4,0,0.6,action = 4,61,4,0.4565,0.40137,0.39574,0.41343,0.56794,0.498106414333323,0.4901734386928774,0.48900920236739925,0.49245304344678387,0.4953584560699454,0.7055532071666615,0.6464567193464387,0.6402446011836996,0.659656521723392,0.8156192280349727
4,1,-0.4,action = 4,62,4,0.4564,0.41343,0.40779,0.44411,0.53721,0.49809637621649083,0.49245304344678387,0.4914264950122246,0.49687020437937307,0.49861809032565196,0.7054481881082454,0.659656521723392,0.6535032475061122,0.6925451021896866,0.7865190451628259
4,0,0.6,action = 4,63,4,0.4566,0.38964,0.40779,0.44402,0.5733,0.49811645224786544,0.4876679197978887,0.4914264950122246,0.4968601412872641,0.4946008491703183,0.7056582261239327,0.6334739598989443,0.6535032475061122,0.6924500706436321,0.8206004245851592
4,1,-0.4,action = 4,64,4,0.45031,0.40207,0.39556,0.43792,0.55456,0.4975238687741524,0.4903162244919089,0.48896830163109756,0.4961350622562368,0.49701106627518865,0.6990719343870762,0.6472281122459544,0.6400441508155488,0.6859875311281184,0.8030655331375944
4,0,0.6,action = 4,65,4,0.44421,0.39574,0.40246,0.43196,0.54331,0.49688026726767887,0.48900920236739925,0.49039779771120506,0.49534836226639534,0.49811645224786544,0.6926501336338394,0.6402446011836996,0.6476588988556025,0.6796341811331976,0.7923682261239327
4,1,-0.4,action = 4,66,4,0.41357,0.35528,0.3693,0.40934,0.5618,0.49247334953274374,0.4785916840063145,0.4826178612525649,0.491711297409364,0.4961652950378533,0.6598066747663719,0.5945758420031573,0.6106089306262825,0.6551956487046819,0.8098826475189266
4,0,0.6,action = 4,67,4,0.4566,0.40151,0.42601,0.46265,0.58601,0.49811645224786544,0.49020403915104577,0.49448963588734596,0.4985980344927164,0.49254441424099005,0.7056582261239327,0.6466120195755228,0.673254817943673,0.7119490172463582,0.832282207120495
4,0,0.6,action = 4,68,4,0.4564,0.40193,0.39613,0.43182,0.57428,0.49809637621649083,0.490285631035624,0.4890909935789045,0.49532817404222024,0.4944491884915982,0.7054481881082454,0.647072815517812,0.6406754967894522,0.6794840870211101,0.8215045942457991
4,0,0.6,action = 4,69,4,0.45645,0.38421,0.36099,0.40183,0.59754,0.49809637621649083,0.48640518089346046,0.4802915781064665,0.49026523433749614,0.49039779771120506,0.7054981881082454,0.6274125904467303,0.6011357890532332,0.6469626171687481,0.8427388988556025
