action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
0,0,0.6,action = 0,27,0.38495,0.46898,0.43252,0.4321,0.34354,0.0776530746332687,0.026645825188948456,0.039496835316262996,0.044721359549995794,0.07745966692414834,1.9380114926653742,1.001896503778969,1.2224567063252598,1.326527190999916,1.8927333384829668
3,1,-0.4,action = 3,28,0.34351,0.47522,0.41976,0.43792,0.31042,0.0,0.037682887362833546,0.03521363372331802,0.09082951062292476,0.0,0.34351,1.228877747256671,1.1240326744663602,2.254510212458495,0.31042
1,0,0.6,action = 1,29,0.37311,0.46274,0.44411,0.43182,0.35701,0.0,0.0,0.0,0.0,0.0,0.37311,0.46274,0.44411,0.43182,0.35701
0,0,0.6,action = 0,30,0.39542,0.45035,0.45021,0.44426,0.37279,0.13671137480107498,0.074565407529229,0.08526429498916882,0.056480084985771756,0.09591663046625439,3.1296474960214997,1.94165815058458,2.1554958997833764,1.5738616997154349,2.291122609325088
3,1,-0.4,action = 3,31,0.31051,0.40779,0.39627,0.40842,0.3387,0.0,0.0,0.0,0.0,0.0,0.31051,0.40779,0.39627,0.40842,0.3387
2,0,0.6,action = 2,32,0.33338,0.44416,0.45688,0.48104,0.36105,0.0506951674225463,0.017320508075688773,0.07745966692414834,0.04049691346263317,0.061806148561449774,1.3472833484509261,0.7905701615137755,2.0060733384829668,1.2909782692526635,1.5971729712289955
4,1,-0.4,action = 4,33,0.32793,0.42023,0.39095,0.4444,0.35567,0.06371812928829597,0.0,0.0,0.03987480407475377,0.07899367063252599,1.6022925857659194,0.42023,0.39095,1.2418960814950755,1.9355434126505198
1,1,-0.4,action = 1,34,0.34375,0.43182,0.40151,0.42586,0.37772,0.0,0.0,0.0,0.0,0.0,0.34375,0.43182,0.40151,0.42586,0.37772
1,0,0.6,action = 1,35,0.37233,0.48137,0.45035,0.46889,0.42,0.0,0.021213203435596427,0.0,0.01414213562373095,0.00447213595499958,0.37233,0.9056340687119286,0.45035,0.7517327124746189,0.5094427190999916
4,0,0.6,action = 4,36,0.39587,0.4626,0.44411,0.47508,0.42563,0.07596051605933177,0.023874672772626643,0.05744562646538029,0.05282045058497703,0.07668115805072326,1.9150803211866352,0.9400934554525329,1.593022529307606,1.5314890116995405,1.9592531610144652
0,0,0.6,action = 0,37,0.35639,0.46265,0.41357,0.44426,0.37273,0.04207136793592526,0.033316662497915366,0.0,0.01,0.023021728866442676,1.1978173587185053,1.1289832499583072,0.41357,0.64426,0.8331645773288535
0,0,0.6,action = 0,38,0.32663,0.4444,0.41381,0.43206,0.37194,0.05513619500836089,0.018439088914585774,0.0,0.0,0.05138093031466052,1.4293539001672178,0.8131817782917155,0.41381,0.43206,1.3995586062932104
1,1,-0.4,action = 1,39,0.3006,0.44402,0.41381,0.45655,0.36616,0.0,0.045934736311423405,0.0,0.015811388300841896,0.0,0.3006,1.3627147262284682,0.41381,0.7727777660168379,0.36616
3,1,-0.4,action = 3,40,0.293,0.4505,0.42587,0.47508,0.37194,0.0,0.0,0.0,0.0,0.0,0.293,0.4505,0.42587,0.47508,0.37194
4,0,0.6,action = 4,41,0.30077,0.48752,0.42618,0.50005,0.41367,0.0,0.025298221281347035,0.01341640786499874,0.026267851073127395,0.04847679857416329,0.30077,0.9934844256269406,0.6945081572999747,1.025407021462548,1.3832059714832656
4,0,0.6,action = 4,42,0.31278,0.48752,0.42563,0.48132,0.38978,0.0,0.020248456731316585,0.0,0.03660601043544626,0.09762171889492624,0.31278,0.8924891346263317,0.42563,1.213440208708925,2.3422143778985247
